Feature,Total Weight
Feature 005,137.29364
Feature 002,135.01712
Feature 003,128.24287
Feature 004,114.7622
Feature 001,101.73172
Feature 000,101.38899
Feature 010,81.74931
Feature 011,75.03292
Feature 012,58.17087
Feature 013,57.517258
Feature 014,50.870842
Feature 015,47.654198
Feature 016,46.638515
Feature 017,43.88413
Feature 018,43.033047
Feature 019,40.068306
Feature 020,39.49551
Feature 021,38.283905
Feature 022,37.462368
Feature 023,35.479343
Feature 025,34.527874
Feature 024,34.19763
Feature 027,33.241573
Feature 029,32.371426
Feature 026,32.169685
Feature 028,31.295994
Feature 031,31.260881
Feature 035,30.968843
Feature 033,30.55915
Feature 047,29.566626
Feature 034,29.494318
Feature 030,29.445631
Feature 049,29.356224
Feature 051,29.167393
Feature 038,29.063946
Feature 040,28.972006
Feature 036,28.948267
Feature 032,28.837482
Feature 045,28.808626
Feature 053,28.804405
Feature 061,28.652374
Feature 059,28.648054
Feature 043,28.624527
Feature 063,28.468828
Feature 039,28.369768
Feature 055,28.065954
Feature 058,28.03822
Feature 041,27.991142
Feature 037,27.911325
Feature 044,27.828863
Feature 042,27.809383
Feature 067,27.436007
Feature 057,27.375185
Feature 065,27.113005
Feature 050,27.005707
Feature 048,26.996645
Feature 054,26.636164
Feature 046,26.618526
Feature 069,26.345228
Feature 071,26.159678
Feature 056,26.138096
Feature 052,25.899693
Feature 062,25.536919
Feature 064,25.498726
Feature 060,25.490355
Feature 073,24.842424
Feature 066,24.559423
Feature 075,24.51863
Feature 070,24.04157
Feature 068,23.8651
Feature 077,23.738052
Feature 072,23.410128
Feature 079,23.179873
Feature 081,23.118408
Feature 076,22.734657
Feature 074,22.635124
Feature 091,22.107761
Feature 080,22.003328
Feature 083,21.975775
Feature 078,21.735233
Feature 095,21.715376
Feature 086,21.600292
Feature 082,21.362005
Feature 093,21.222342
Feature 085,21.102352
Feature 087,21.093887
Feature 084,21.00333
Feature 089,20.871666
Feature 088,20.180088
Feature 090,19.821041
Feature 097,19.740828
Feature 096,18.617605
Feature 094,18.325716
Feature 098,18.209038
Feature 092,18.163696
Feature 099,17.924318
Feature 102,16.673088
Feature 101,16.475069
Feature 104,16.278248
Feature 100,15.990748
Feature 103,15.462059
Feature 105,15.225599
Feature 108,15.171258
Feature 109,14.628215
Feature 107,13.788533
Feature 106,13.58236
Feature 007,12.547657
Feature 006,12.492853
Feature 008,12.252456
Feature 009,11.57325
