DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_explore_Matrix_Size,DEFAULT_BESTRAFUNGSABSTAND_WAND,DEFAULT_SCALE_BESTRAFUNG_WAND,DEFAULT_TOO_CLOSE_TO_WALL_DISTANCE,DEFAULT_INIT_MAZE_NUMBER
5,300,2,-0.5,50000.0,1,90000,99999999999999,20,100,50,5,300,5,1,0.01,5,0.3,0.1,0.15,21

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
0,kein_Terminated,Zu nahe an der Wand,0.03,2,-81.05555555555586,0,20250404-020515
0,kein_Terminated,Zu nahe an der Wand,0.02,1,115.9444444444444,0,20250404-020518
0,kein_Terminated,Zu nahe an der Wand,0.01,2,-22.33333333333334,0,20250404-020520
0,kein_Terminated,Zu nahe an der Wand,0.04,2,156.2703318872178,0,20250404-020524
0,kein_Terminated,Zu nahe an der Wand,0.06,2,-108.06522900053344,0,20250404-020529
0,kein_Terminated,Zu nahe an der Wand,0.05,1,209.35605894141824,0,20250404-020532
0,kein_Terminated,Zu nahe an der Wand,0.09,2,-297.9494248702022,0,20250404-020539
0,kein_Terminated,Zu nahe an der Wand,0.03,2,-351.777777777778,0,20250404-020544
0,kein_Terminated,Zu nahe an der Wand,0.04,2,97.72719024077438,0,20250404-020547
0,kein_Terminated,Zu nahe an der Wand,0.04,2,-58.05555555555574,0,20250404-020551
0,kein_Terminated,Zu nahe an der Wand,0.05,2,208.18141697048952,0,20250404-020554
0,kein_Terminated,Zu nahe an der Wand,0.04,1,182.1565419667137,0,20250404-020558
0,kein_Terminated,Zu nahe an der Wand,0.01,2,42.55555555555556,0,20250404-020600
0,kein_Terminated,Zu nahe an der Wand,0.07,2,284.033986408857,0,20250404-020605
0,kein_Terminated,Zu nahe an der Wand,0.03,2,148.49533051276856,0,20250404-020608
0,kein_Terminated,Zu nahe an der Wand,0.11,1,-222.28742490954582,0,20250404-020614
0,kein_Terminated,Zu nahe an der Wand,0.01,2,43.500000000000014,0,20250404-020617
0,kein_Terminated,Zu nahe an der Wand,0.04,2,221.7581797249982,0,20250404-020620
0,kein_Terminated,Zu nahe an der Wand,0.09,2,336.20994554003755,0,20250404-020625
0,kein_Terminated,Zu nahe an der Wand,0.03,2,150.55555555555543,0,20250404-020628
0,kein_Terminated,Zu nahe an der Wand,0.03,2,5.857903501114272,0,20250404-020631
0,kein_Terminated,Zu nahe an der Wand,0.05,2,174.26910082561622,21,20250404-020634
0,kein_Terminated,Zu nahe an der Wand,0.03,2,-55.7777777777777,21,20250404-020636
0,kein_Terminated,Zu nahe an der Wand,0.09,2,464.7777777777776,21,20250404-020640
0,kein_Terminated,Zu nahe an der Wand,0.21,2,725.3269846606295,21,20250404-020646
0,kein_Terminated,Zu nahe an der Wand,0.16,2,869.2578605648788,21,20250404-020650
0,kein_Terminated,Zu nahe an der Wand,0.01,2,60.777777777777786,21,20250404-020652
0,kein_Terminated,Zu nahe an der Wand,0.12,2,474.33333333333326,21,20250404-020658
0,kein_Terminated,Zu nahe an der Wand,0.08,2,362.22222222222194,21,20250404-020700
0,kein_Terminated,Zu nahe an der Wand,0.03,2,138.05555555555554,21,20250404-020703
0,kein_Terminated,Zu nahe an der Wand,0.01,2,42.500000000000014,21,20250404-020705
0,kein_Terminated,Zu nahe an der Wand,0.14,2,541.7777777777783,21,20250404-020710
0,kein_Terminated,Zu nahe an der Wand,0.14,2,640.5000000000002,21,20250404-020714
0,kein_Terminated,Zu nahe an der Wand,0.05,2,279.99999999999994,21,20250404-020716
0,kein_Terminated,Zu nahe an der Wand,0.03,1,201.88192753732378,21,20250404-020718
0,kein_Terminated,Zu nahe an der Wand,0.07,2,321.5555555555554,21,20250404-020722
0,kein_Terminated,Zu nahe an der Wand,0.03,2,151.5,21,20250404-020724
0,kein_Terminated,Zu nahe an der Wand,0.07,2,-53.146826245354234,21,20250404-020727
