set_id,description,Ziel_Training_TIME_In_Simulation,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_PUSHBACK_ACTIVE,NumberOfInterationsTillNextCheckpoint,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_VelocityScale,DEFAULT_Procent_Step,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_no_collision_reward,DEFAULT_explore_Matrix_Size,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,date_created,comment
SET_20250409-233159,"FT:Neue Hyperparameter-Sets, weil mit dem Abstand von 0,15 auch bei gutem Flugverhalten sehr viel negativer Reward gesammt wurde --> Mazes sind zu eng--> auf 0,1 verringert",540000,50000,1,1080000,99999999999999,20,100,50,2,300,False,250000,80,0.5,0.01,4,-0.5,2,8,4,1,5,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,-100,0.1,20250409-233159,feel free to add any comments here manually
SET_20250410-011939,"FT:#Neue Hyperparameter-Sets, weil mit dem Abstand von 0,15 auch bei gutem Flugverhalten sehr viel negativer Reward gesammt wurde --> Mazes sind zu eng--> auf 0,1 verringert + belohnung für Kollision auf 0,75 reduziert",540000,50000,1,1080000,99999,20,100,50,2,300,False,250000,80,0.5,0.01,4,-0.5,2,8,4,0.75,5,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,-100,0.1,20250410-011939,feel free to add any comments here manually
SET_20250410-011939_TEST_WITH_ADOPTED_MAZES,"Mazes angepasst, um auf schweren Mazes zu trainieren",540000,50000,1,1080000,99999,20,100,50,2,300,False,250000,80,0.5,0.01,4,-0.5,2,8,4,0.75,5,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,-100,0.1,20250410-011939,feel free to add any comments here manually
SET_20250415-083130,Ableger von “SET_20250410-011939”: Bestrafung für Gegen die Wand fliegen deutlich reduziert (für Training mit SAC),540000,50000,1,1080000,99999,20,100,50,2,300,False,250000,80,0.5,0.01,4,-0.5,2,8,4,0.75,5,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,-30,0.1,20250415-083130,feel free to add any comments here manually
SET_20250415-210445,"für das SAC Modell die last actions auf 200 gesetzt, weil mit 20 nur sehr kleine hin-und her-Flüge (ca. 0,5m Länge) gelernt wurden",540000,50000,1,1080000,99999,200,100,50,2,300,False,250000,,0.5,0.01,4,-0.5,2,8,4,0.75,5,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,-25,0.1,20250415-210445,feel free to add any comments here manually
SET_20250415-211344,"Parameter für das SAC Modell die last actions auf 100 gesetzt, weil mit 200 auch kein direktes Lernen zu Beginn zu sehen war. -> Reward für neue Felder runtergenommen und Bestrafung auch, da damit mit SAC zuletzt besser trainiert wurde.",540000,50000,1,1080000,99999,100,100,50,2,300,False,250000,,0.5,0.01,4,0,2,8,3,0,5,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,-10,0.1,20250415-211344,feel free to add any comments here manually
SET_20250415-211929,"Parameter für das SAC Modell die last actions auf 100 gesetzt, weil mit 200 auch kein direktes Lernen zu Beginn zu sehen war. -> Reward für neue Felder runtergenommen und Bestrafung auch, da damit mit SAC zuletzt besser trainiert wurde.",540000,50000,1,1080000,99999,100,100,50,2,300,False,250000,,0.5,0.01,4,0,2,8,3,0,5,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,-10,0.1,20250415-211929,feel free to add any comments here manually
SET_20250423-004900,"weniger Trainingszeit, um innerhalb vom 7h fertig zu sein",400000,50000,1,650000,99999,100,100,50,2,300,False,250000,,0.5,0.01,4,0,2,8,3,0,5,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,-10,0.1,20250423-004900,feel free to add any comments here manually
SET_20250423-182500,"wie SET_20250423-004900, nur die einfachen Mazes anstatt die schweren",400000,50000,1,650000,99999,100,100,50,2,300,False,250000,,0.5,0.01,4,0,2,8,3,0,5,"(22, 23, 24, 25)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,-10,0.1,20250423-182500,feel free to add any comments here manually

